===============================
Start experiment at Sat Sep 27 16:33:56 UTC 2025
Config: batch_size=128, hidden=30, lr=0.005, epochs=160
[17:38:16] Epoch 126: Loss=5.123292, Train RMSE=5.410761, Test RMSE=5.440257, Time=49.210 sec
[17:39:10] Epoch 127: Loss=5.114835, Train RMSE=5.364505, Test RMSE=5.398900, Time=53.787 sec
[17:39:36] Epoch 128: Loss=5.101025, Train RMSE=5.394362, Test RMSE=5.430029, Time=26.102 sec
[17:40:02] Epoch 129: Loss=5.095370, Train RMSE=5.313810, Test RMSE=5.349860, Time=25.987 sec
[17:40:29] Epoch 130: Loss=5.084888, Train RMSE=5.411453, Test RMSE=5.444149, Time=26.211 sec
[17:40:56] Epoch 131: Loss=5.083610, Train RMSE=5.345896, Test RMSE=5.385528, Time=27.646 sec
[17:41:23] Epoch 132: Loss=5.071971, Train RMSE=5.534329, Test RMSE=5.568790, Time=26.734 sec
[17:41:49] Epoch 133: Loss=5.068886, Train RMSE=5.345490, Test RMSE=5.379424, Time=26.362 sec
[17:42:16] Epoch 134: Loss=5.062204, Train RMSE=5.246365, Test RMSE=5.286788, Time=26.399 sec
[17:42:45] Epoch 135: Loss=5.053717, Train RMSE=5.253791, Test RMSE=5.295209, Time=28.946 sec
[17:43:14] Epoch 136: Loss=5.043332, Train RMSE=5.257848, Test RMSE=5.297106, Time=29.706 sec
[17:43:44] Epoch 137: Loss=5.037564, Train RMSE=5.207985, Test RMSE=5.248965, Time=29.110 sec
[17:44:12] Epoch 138: Loss=5.034353, Train RMSE=5.124758, Test RMSE=5.172907, Time=28.253 sec
[17:44:38] Epoch 139: Loss=5.029379, Train RMSE=5.502637, Test RMSE=5.542780, Time=26.211 sec
[17:45:03] Epoch 140: Loss=5.017632, Train RMSE=5.194309, Test RMSE=5.233194, Time=25.337 sec
[17:45:31] Epoch 141: Loss=5.008699, Train RMSE=5.316671, Test RMSE=5.360971, Time=27.974 sec
[17:46:00] Epoch 142: Loss=5.008796, Train RMSE=5.197986, Test RMSE=5.243777, Time=28.924 sec
[17:46:28] Epoch 143: Loss=4.998572, Train RMSE=5.238097, Test RMSE=5.278852, Time=27.942 sec
[17:46:58] Epoch 144: Loss=4.998443, Train RMSE=5.196112, Test RMSE=5.244833, Time=29.568 sec
[17:47:30] Epoch 145: Loss=4.988912, Train RMSE=5.266415, Test RMSE=5.311149, Time=32.434 sec
[17:48:00] Epoch 146: Loss=4.990016, Train RMSE=5.217580, Test RMSE=5.263003, Time=29.841 sec
[17:48:31] Epoch 147: Loss=4.980545, Train RMSE=5.138509, Test RMSE=5.187495, Time=30.525 sec
[17:49:17] Epoch 148: Loss=4.973098, Train RMSE=5.151421, Test RMSE=5.203710, Time=46.653 sec
[17:50:07] Epoch 149: Loss=4.971736, Train RMSE=5.134013, Test RMSE=5.185011, Time=49.407 sec
