===============================
Start experiment at Sun Sep 28 00:53:50 UTC 2025
Config: batch_size=16, hidden=30, lr=0.005, epochs=160
[04:03:07] Epoch 70: Loss=4.732062, Train RMSE=5.435407, Test RMSE=5.428545, Time=134.149 sec
[04:06:36] Epoch 71: Loss=4.747963, Train RMSE=5.293740, Test RMSE=5.288207, Time=209.200 sec
[04:09:00] Epoch 72: Loss=4.746376, Train RMSE=5.508105, Test RMSE=5.501777, Time=143.405 sec
[04:11:19] Epoch 73: Loss=4.733234, Train RMSE=5.318496, Test RMSE=5.313774, Time=139.592 sec
[04:13:39] Epoch 74: Loss=4.721921, Train RMSE=5.370083, Test RMSE=5.366467, Time=139.931 sec
[04:16:26] Epoch 75: Loss=4.708618, Train RMSE=5.269736, Test RMSE=5.263013, Time=166.552 sec
[04:19:31] Epoch 76: Loss=4.721371, Train RMSE=5.556936, Test RMSE=5.554411, Time=185.602 sec
[04:21:49] Epoch 77: Loss=4.740099, Train RMSE=5.258223, Test RMSE=5.251788, Time=137.867 sec
[04:24:08] Epoch 78: Loss=4.737195, Train RMSE=5.693222, Test RMSE=5.686671, Time=139.143 sec
[04:26:57] Epoch 79: Loss=4.726092, Train RMSE=5.189123, Test RMSE=5.185389, Time=168.791 sec
[04:30:01] Epoch 80: Loss=4.718961, Train RMSE=5.328981, Test RMSE=5.321241, Time=183.861 sec
[04:32:18] Epoch 81: Loss=4.695835, Train RMSE=5.254530, Test RMSE=5.248119, Time=137.000 sec
[04:34:34] Epoch 82: Loss=4.741618, Train RMSE=5.265187, Test RMSE=5.260899, Time=135.774 sec
[04:37:28] Epoch 83: Loss=4.692944, Train RMSE=5.253832, Test RMSE=5.247980, Time=174.145 sec
[04:40:14] Epoch 84: Loss=4.689532, Train RMSE=5.296084, Test RMSE=5.292568, Time=165.867 sec
[04:42:44] Epoch 85: Loss=4.695086, Train RMSE=5.240164, Test RMSE=5.233556, Time=150.373 sec
[04:44:59] Epoch 86: Loss=4.712342, Train RMSE=5.237770, Test RMSE=5.230566, Time=135.004 sec
[04:47:41] Epoch 87: Loss=4.848397, Train RMSE=5.227224, Test RMSE=5.221663, Time=161.886 sec
[04:49:56] Epoch 88: Loss=4.713255, Train RMSE=5.429649, Test RMSE=5.425904, Time=134.453 sec
[04:52:56] Epoch 89: Loss=4.667752, Train RMSE=5.423142, Test RMSE=5.419663, Time=180.793 sec
[04:55:11] Epoch 90: Loss=4.670317, Train RMSE=5.371230, Test RMSE=5.366580, Time=134.663 sec
[04:57:57] Epoch 91: Loss=4.676949, Train RMSE=7.711322, Test RMSE=7.708495, Time=166.259 sec
[05:00:17] Epoch 92: Loss=4.743254, Train RMSE=5.177809, Test RMSE=5.172389, Time=139.323 sec
[05:03:05] Epoch 93: Loss=4.697381, Train RMSE=5.189441, Test RMSE=5.182520, Time=167.784 sec
[05:05:32] Epoch 94: Loss=4.645357, Train RMSE=5.100832, Test RMSE=5.094056, Time=147.752 sec
[05:08:12] Epoch 95: Loss=4.656920, Train RMSE=5.917488, Test RMSE=5.909777, Time=159.567 sec
[05:10:25] Epoch 96: Loss=4.651050, Train RMSE=5.246347, Test RMSE=5.240709, Time=132.995 sec
[05:12:40] Epoch 97: Loss=4.693048, Train RMSE=5.592045, Test RMSE=5.588375, Time=134.768 sec
[05:15:39] Epoch 98: Loss=4.602686, Train RMSE=5.933813, Test RMSE=5.922226, Time=178.941 sec
[05:18:30] Epoch 99: Loss=5.040982, Train RMSE=5.468078, Test RMSE=5.463108, Time=171.309 sec
[05:20:47] Epoch 100: Loss=4.862385, Train RMSE=5.557097, Test RMSE=5.550808, Time=136.902 sec
[05:23:04] Epoch 101: Loss=4.839579, Train RMSE=5.456919, Test RMSE=5.451539, Time=137.357 sec
[05:25:53] Epoch 102: Loss=4.663109, Train RMSE=5.653636, Test RMSE=5.651970, Time=168.285 sec
[05:29:23] Epoch 103: Loss=4.634936, Train RMSE=5.115459, Test RMSE=5.112113, Time=209.921 sec
[05:31:47] Epoch 104: Loss=4.629728, Train RMSE=5.189639, Test RMSE=5.184811, Time=144.600 sec
[05:34:22] Epoch 105: Loss=4.708045, Train RMSE=5.295582, Test RMSE=5.288613, Time=155.262 sec
[05:37:15] Epoch 106: Loss=4.620216, Train RMSE=5.201567, Test RMSE=5.197513, Time=172.376 sec
[05:39:50] Epoch 107: Loss=4.971318, Train RMSE=5.960538, Test RMSE=5.954283, Time=155.423 sec
